Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
2022-01-22 Purchase Black Tea,black tea,115,grams,$0.05,$6.32,100.00%,,,,,,,,,,,,,,,,,,,Brew 1,cacao nibs,100,,,grams,14.99,$1.50,brewed in 1.5 litres,,,,Can get 20 brews from Jan22 at 13.8g per brew,
2022-01-09 Purchase Spices,cinnamon quills,25,grams,$0.08,$2.00,5.68%,,,,,,,,,,,,,,,,,,,Brew 1,dried rinsed lemon myrtle leaves ,42,,,grams,0,$0.00,brewed in 2 litres,,,,,ratio = blend / ingredient
2022-01-09 Purchase Spices,licorice root,70,grams,$0.06,$4.55,15.91%,,,,,,,,,,,,,,,,,,,Brew 1,licorice root sticks,29,,,grams,64.7,$1.88,brewed in 2 litres,,,,2022Mar31Purchase has a ratio of 2.76 grams spice to 1g black tea from 2022Mar31PurchaseBlackTea,
2022-01-09 Purchase Spices,fenugreek seeds,110,grams,$0.03,$2.97,25.00%,,,,,,,,,,,,,,,,,,,Brew 1,cinnamon quills,32,,,grams,82.29,$2.63,brewed in 2 litres,,,,2022Mar31PurchaseBlackTea black tea ratio as a percentage: 36.24% of 2022Mar31Purchase,
2022-01-09 Purchase Spices,dandelion root,95,grams,$0.07,$6.46,21.59%,,,,,,,,,,,,,,,,,,,Brew 1,fenugreek,38,,,grams,25.95,$0.99,brewed in 1 litre,,,,2022Mar31PurchaseBlackTea black tea ratio as a percentage: 36.24% of 2022Mar31Purchase,
2022-01-09 Purchase Spices,cardamom pods,45,grams,$0.19,$8.55,10.23%,,,,,,,,,,,,,,,,,,,Brew 1,Brew 1,weight,,,,,$6.99,,,,,average 15g per brew,
2022-01-09 Purchase Spices,lemon grass,45,grams,$0.05,$2.43,10.23%,,,,,,,,,,,,,,,,,,,Brew 1,bottle,440,,,grams,,,,,,,estimated 2022Mar31Purchase brewings: 104,
2022-01-09 Purchase Spices,cloves,50,grams,$0.04,$2.15,11.36%,,,,,,,,,,,,,,,,,,,Brew 1,cacao nibs and fenugreek,314,,,grams ,$2.49,$0.78, & made 1296 millilitres,,,,,ratio = blend / ingredient
Jan22,2022-01-09 Purchase Spices,160,grams,$0.07,$10.58,58.18%,,,,,,,,,,,,,,,,,,,Brew 1,"cinnamon, myrtle, licorice",271,,,grams,$4.51,$1.22, & made 1264 millilitres,,,,Ratio 1:7 tea to April22 blend which is just over 14% black tea,
Jan22,2022-01-22 Purchase Black Tea,115,grams,$0.05,$6.32,41.82%,,,,,,,,,,,,,,,,,,,Brew 1,water,209,,,,,,,,,,blend more black tea,
